OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,TRUE,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,207398,273965,183114,148849,107207
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,TRUE,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,174063,240313,148996,119872,86644
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,TRUE,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,200819,249636,170302,135206,95451
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,TRUE,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,171574,277376,185465,143647,110498
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,TRUE,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,232949,283618,191420,158763,107123
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,TRUE,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,196376,244988,165694,135437,85361
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,TRUE,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,262362,371320,237180,192095,127270
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,TRUE,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,184028,243675,156498,127547,94922
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,200586,265829,177134,143017,102918
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,165705,228777,141979,113629,83375
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,193301,240225,163954,130044,92360
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,163707,264885,177428,136529,105948
